# zh_cn reference table — GENERATED by mdk/tools/gen_zhcn_ref.py, git-tracked data source
# for the GT6ZhCn datagen provider (ADR 2026-09-06-p20-i18n-zhcn-pipeline §1.1).
#
# columns: kind<TAB>source<TAB>value<TAB>status
#   kind   material | itemgroup | mte | direct
#   source family rows: the dump key suffix verbatim (material Pascal internal / itemGroup
#          camel internal / mte numeric id) — the gt6 lang key is derived provider-side by
#          the single MaterialPrefixItem.snakeCase implementation, never here;
#          direct rows: the FINAL gt6 lang key (hand-entered in the script's table).
#   status auto   = dump copy with a translatable value;
#          review = pure-ASCII dump value, suspected untranslated — provider skips;
#          hand   = human translation (script HAND_TRANSLATIONS table).
# filters: dropped ktfru/written.book/enchantment keys; duplicate keys: first occurrence wins.
#   mte rows are inert census data until the MTE ID-join subface lands (arch tasks.p20-arch-i18n).
#
direct	block.gt6.barrel_adamantium	艾德曼合金鼓	hand
direct	block.gt6.barrel_awakened_draconium	觉醒龙合金鼓	hand
direct	block.gt6.barrel_draconium	龙合金鼓	hand
direct	block.gt6.barrel_gaia_spirit	盖亚鼓	hand
direct	block.gt6.barrel_infinity	无限鼓	hand
direct	block.gt6.barrel_logistics	物流储罐	hand
direct	block.gt6.barrel_metal	青铜鼓	hand
direct	block.gt6.barrel_netherite	下界合金鼓	hand
direct	block.gt6.barrel_plastic	塑料罐	hand
direct	block.gt6.barrel_tantalum_hafnium_carbide	碳化钽铪鼓	hand
direct	block.gt6.barrel_titanium	钛鼓	hand
direct	block.gt6.barrel_tungsten	钨鼓	hand
direct	block.gt6.barrel_tungsten_alloy	钨合金鼓	hand
direct	block.gt6.barrel_tungstensteel	钨钢鼓	hand
direct	block.gt6.barrel_void_metal	虚空金属鼓	hand
direct	block.gt6.barrel_wood	木制储物桶	hand
direct	block.gt6.brick_burning_box	砖块燃烧室 (固体)	hand
direct	block.gt6.crank	手摇曲柄	hand
direct	block.gt6.crusher	破碎机	hand
direct	block.gt6.energy_source	测试能源	hand
direct	block.gt6.example_chest	GT 示例箱子	hand
direct	block.gt6.gearbox	木制可调变速箱	hand
direct	block.gt6.heat_transmitter	热吸收装置	hand
direct	block.gt6.lathe	车床	hand
direct	block.gt6.multiblock_coke_oven	焦炉	hand
direct	block.gt6.multiblock_coke_oven_bricks	焦炉砖	hand
direct	block.gt6.oven	烤箱	hand
direct	block.gt6.shredder	粉碎机	hand
direct	block.gt6.transformer_rotation	木制变速箱	hand
direct	block.gt6.wire_electric_1x	1×电线	hand
direct	block.gt6.wire_electric_2x	2×电线	hand
direct	block.gt6.wire_laser	光纤	hand
direct	block.gt6.wood_fluid_pipe_medium	木制流体管道	hand
